하위 페이지 번호,자격요건,우대사항
68,"['• 유관 경력 5년차 이상 (박사 졸업 예정자 지원 가능)• 컴퓨터비젼, 로보틱스, 또는 기계학습과 관련된 전공의 석사/박사 학위 이상 혹은 동등한 경력• 컴퓨터비젼 및 기계학습에 대한 이론 및 실무 지식• 뛰어난 프로그래밍 기술(C/C++, Python 등)']","['• 자율주행 및 로보틱스 관련 연구 개발 경험• GPS, IMU, 카메라, LIDAR 와 같은 다양한 센서를 사용한 개발 경험• VR/AR 관련 어플리케이션 개발 경험• 병렬 프로그래밍 및 시스템 최적화 관련 개발 경험• 관련 분야 저서/학술활동 이력(CVPR, ICCV, ECCV, IJCV, TIP, TPAMI 등)']"
69,"['• 의료 AI에 대해 폭넓게 이해하고 이를 연구분야에 적용하고 수행했던 분• 경력: 석사: 5년이상 또는 박사: 2년이상 AI 관련 실무 경험이 있으신 분• SCI급 논문 1편 이상 (CVPR, ICCV 등)']",['• SCI급 논문 3편 이상• 연구 목표를 구체적으로 수립하고 리딩해 보신 분• Kaggle등 competition 입상 경험이 있으신 분• 디지털헬스케어 분야에서 AI 실무와 리드 경험이 있으신 분[합류 여정]• 서류 지원 ＞ 1차면접＞ 2차면접＞ 처우협의 ＞ 합류']
70,"['• AI/ML 모델 개발, Data 분석 역량, 알고리즘, Prototype 구현 역량이 있는 분• 회로 및 배터리 기본 개념을 이해하고 계신 분• 배터리 생산 공정에서 발생하는 데이터 또는 운영 데이터를 활용한 모델링 경험이 3년 이상인 분• 효율적인 문제해결을 위해 필요한 기술을 찾아 실제 현장에 적용하고 발전시키는 것을 좋아하는 분• 제조, 산업의 다양한 도메인 지식을 익혀 모호한 상황에서 문제를 구체화 하는 것을 좋아하는 분']","['•협업을 통해 수행한 프로젝트 결과가 1회 이상 후속으로 이어진 경험 있으신 분 (실적용/확산 등)•Prototype 구현 경험이 있으신 분 (DB 연동, 화면 초안 등)•1~3명 규모 팀 Leading & Mentoring 6개월 이상의 경험이 있는 분[채용절차]• 서류접수• 온라인 코딩 테스트• 기술 인터뷰• Fit 인터뷰']"
71,"['[이런 분이 필요해요!]• 자연어 처리 (NLP), 인공지능(AI) 전공자 또는 관련 업무 2년 이상 경험자• PyTorch, Transformers를 이용한 LLM 모델 훈련, Fine-tuning, RAG 경험자• Knowledge Distillation, Quantization 등과 같은 LLM 모델 경량화 경험자• Pandas, Matplotlib 등의 패키지를 활용한 데이터 정제, 전처리, 분석, 모델링, 시각화 경험을 보유하신 분• 주도적으로 일을 만들고, 책임감 있게 리드하시는 분• 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분[업무에 꼭 필요한 기술 스택 입니다]• PyTorch, Hugging Face Transformers 등 딥러닝 프레임워크• Python, numpy, pandas, scikit-learn, matplotlib 등 데이터 전처리, 분석, 시각화• SQL, Git']","['[이런 분이면 더욱 좋아요!]• 최신 언어 모델 알고리즘/ 논문/ 특허 작성자• 최신 LLM, GenAI 관련 논문 내용을 구현 가능한 분• 국내외 AI 대회 (Kaggle 등) 입상자, Open Source LLM을 활용한 모델 학습 및 Leader Board (Hugging Face 등) 제출 경험자 • LLM 기반 애플리케이션 개발 프레임워크인 LangChain에 대한 이해, 경험• 제조업에 AI를 적용해서 성과를 창출한 경험자 (수율, 품질, 생산성, SHE 등)• 신기술에 대한 호기심과 성장에 대한 열정이 있는 분']"
72,"['• 대학(2,3년) 졸업 이상 관련학과 졸업자• 경력 : 관련경력 3년 이상• C# 응용프로그램 개발 유경험자']","['• GUI 개발 포트폴리오가 있는 분• 리눅스 환경에 익숙하신 분• openCV, open3d, pcl 유경험자 및 그래픽 렌더링 개발 경험자 우대']"
73,"['• 데이터 파이프라인 개발 및 운영 경력 3년 이상• ETL 솔루션 또는 프로세싱 구축 및 운영 경험 • BigQuery / mongoDB 등의 noSQL 경험• 대용량 데이터 처리 및 마이그레이션 경험• Python, SQL, shell script 등 언어활용 가능']","['• 컴퓨터공학과 계열 전공자 우대• Cloud 기반의 파이프라인 구축, 운영 경험자• 데이타 기반 문제 해결 능력 보유• 데이타 모델링 경험자']"
74,['- 2년이상 경력자- C++ 혹은 Python 프로그래밍 능력- 국영문 학술논문 등 전문 아티클 리딩 능력- 새로운 영역 및 분야 리서치 능력(*전문용어를 기반으로 통합적 사고력 및 이해 능력)- 논리적인 사고 및 접근 방법'],"['- 통계 및 수학 전공자- 센서 및 GPS 신호분석, 응용 알고리즘 개발 이해도 보유- Embedded SW개발 (C / C++)- 데이터 분석 (Matlab 또는 python)- ROS에 대한 이해- 측위기술 과제 경험, Embedded 시스템 구현경험- 머신러닝기반 알고리즘 개발 경험- 자율주행 시스템의 전반적인 구조에 대한 이해- SLAM, Kalman filter, 차량 동력학(Vehicle dynamics)에 대한 이해']"
75,"['- C/C++ 및 Python 기반 알고리즘 개발 경력 5년 이상- 관련 분야의 학사 이상 학위를 보유하신 분- Computer vision, Image processing, Machine learning 등 관련 기술에 대한 전반적인 이해가 있으신 분- Linux, Git 기반의 개발 및 협업 경험이 있으신 분- 다양한 직군의 구성원들과 협업하여 프로젝트를 이끌 수 있는 역량을 갖추신 분']","['- 로봇공학, 컴퓨터공학, 전자공학, 기계공학 등 로보틱스 관련 분야의 석사/박사 학위를 보유하신 분- Machine Learning 개발 경험자 (Tensorflow, PyTorch, Keras 등)- VLA(Visual Language Action) 모델 또는 LLM(Large Language Model) 모델 활용 경험- Unity, Unity Perception 사용 경험이 있으신 분- 관련 논문이나 기술 관련 문서를 이해하고 이를 바탕으로 구현이 가능하신 분- Noise Robust, Occlusion, Data Imbalanced Problem에 관한 이해가 있으신 분- 영어로 기술 업무(Written & Spoken) 진행 가능한 자- ROS/ROS2 기반 개발 경험이 있으신 분- ROS를 활용하여 MoveIt Pacakge를 활용한 경험이 있으신 분- MuJoCo, Isaac Sim 등 Dynamic simulator를 다뤄본 경험이 있으신 분']"
76,['• Python 개발 능력• openCV기반의 알고리즘 개발 경험• 관련 전공 석사 이상 또는 관련 경력 3년 이상• 원활한 커뮤니케이션 능력'],['• C++기반 Deep learning 개발 경험• ROS 기반 소프트웨어 개발 경험• RADAR 센서 데이터 처리 경험']
77,"['• 컴퓨터비전 개발경력 (OpenCV, Tensorflow, Pytorch, CUDA 등) 2년 이상 또는 관련 전공 석사 학위 이상을 가지고 계시면 됩니다.• 다양한 직군과의 원활한 의사소통 및 협업 능력이 있어야 해요.• 어려운 문제를 해결하거나 새로운 기술을 다루는데 흥미가 있고 관련 자료를 찾기 위해 Google, Stack Overflow 또는 기타 커뮤니티 등에 능숙하게 검색할 수 있어야 해요.• 자기 주도적으로 개발하며 스스로 동기 부여할 수 있어야 해요!• 업무상 필요에 의하여 해외출장이 있을 수 있습니다.']","['• 컴퓨터비전 관련 학위를 가지고 계시거나 논문 출판 경험이 있으면 좋습니다.• 3차원 머신비전 관련 개발 경험이 있으면 좋습니다.• 3차원 기하학, 기구학, 선형대수 및 최적화 이론에 대한 이해도가 높으면 좋습니다.• 영문 자료를 참고하고 해외 커뮤니티에서 소통하며 문제를 해결할 수 있는 영어실력이 있으면 좋습니다.• Git 을 사용할 줄 알면 좋습니다.• 보유 기술스택과 툴: CUDA, OpenGL, OpenCV, C++, TensorFlow, Python, PyTorch, C']"
78,"['- Math, CS, EE 학위 소유자, 또는 이와 비슷한 경력을 가지신 분- 프로그래밍 언어(Python, C/C++ 등) 활용이 능숙하신 분- 자기 동기부여 및 배우고자 하는 의지가 강하신 분- 팀원 간의 소통 및 협업이 매끄럽고 능숙하신 분- 최종 성적증명서 제출 필수 (석,박사의 경우 학부 성적표도 첨부)']","['- 딥러닝 컴파일러(TVM, XLA 등)와 관련된 연구 경험을 가지신 분- 2년 이상의 딥러닝 분야 연구 경력을 가지신 분, 또는 관련 분야 논문 실적이 있으신 분- 임베디드 시스템 환경에서의 딥러닝 알고리즘 개발 경험을 가지신 분- 딥러닝 컴파일러와 관련된 연구 및 개발 경험을 가지신 분- 프로그래밍 언어(Python, C/C++ 등) 활용이 능숙하신 분']"
79,"['• 관련 전공 석사학위 이상 소지 또는 관련 업계 경력 2년 이상• Python/C/C++ 개발 및 PyTorch, Tensorflow, MONAI 등 딥러닝 라이브러리 활용 개발 유경험자• 의료 영상 연구 유경험자']","['• 관련 학회 논문 작성 및 제출 경험자 (MICCAI, MIDL, CVPR, ICCV, ECCV, WACV, ICIP, ICPR 등)• 관련 학회 챌린지 상위 랭크 경험자• 과제 책임자 유경험자• 임상 데이터를 직접 다루고 모델/알고리즘 개발 적용 유경험자']"
80,"['• 컴퓨터, 전기/전자, 기계 공학 또는 관련 분야에서의 석사 학위 그에 준하는 경력• C / C++ 프로그래밍 언어에 대한 이해• PCL 등 pointcloud 라이브러리 활용 경험• ROS(로봇 운영체제) 또는 기타 로봇 프레임워크에 대한 경험']","['• SLAM 오픈소스 기여 경험• IROS, ICRA, CVPR 등의 로봇 및 비전 top conference 논문 실적• Linux / Embedded 시스템에서의 개발 경험• Jetson 플랫폼을 사용한 개발 경험• 다양한 센서에 대한 사용 경험• 체계적인 문서 작업 / 관리 경험• 영어 / 한국어에 대한 커뮤니케이션 스킬']"
81,"['- 인공지능, 딥러닝 관련 분야 석사학위 이상 또는 이에 준하는 경력 소유자- C/C++ 프로그래밍 관련 숙련된 경력자- Deep Learning 알고리즘 임베디드 포팅 경험자- 모델 최적화 기법에 대한 이해 및 경험을 보유한 자- 팀원들과의 원활한 의사소통 능력']","['- GPU 외의 환경에서 AI Framework(NCNN, Tengine, CMSIS 등) 개발 경험이 있으신 분- 자율주행 및 로보틱스 분야에서의 경험이 있으신 분- CPU, GPU, NPU low-level 성능 최적화 경험을 보유하신 분- AI model optimization 관련 지식과 경험을 보유하신 분']"
82,"['이런 분이 필요해요!ㆍ관련 전공 석사 이상 학위를 보유하시거나 연구/프로젝트 경력이 2년 이상인 분ㆍPython, R 등 데이터 분석 tool에 능숙하신 분ㆍ예측 알고리즘 혹은 신호 처리개발 경험이 있으신 분ㆍ헬스케어/의료 분야에서 임팩트를 만들어내고자 하는 열정이 있으신 분ㆍ협업을 위한 열린 자세와 논리적인 의사소통 능력을 갖추신 분ㆍ해외여행에 결격사유가 없으신 분']","['이런 분이면 더 좋아요!ㆍ디지털 헬스케어/의료기기/임상 연구 중 하나 이상의 주제에 대한 이해가 높으신 분ㆍ생체신호 데이터를 다뤄본 경험이 있으신 분ㆍ직접 연구 프로젝트를 설계하여 결과를 도출해보신 분ㆍ학술 논문(학회, 저널) 출판 경험을 보유하신 분ㆍ이모티브에 빠르게 합류 가능하신 분[전형절차]서류 전형 ＞ 1차면접(실무) ＞ 2차면접(임원) ＞ 최종합격ㆍ포트폴리오(pdf 또는 Github링크 첨부) 필수 제출바랍니다.ㆍ모든 채용 전형 결과는 영업일 기준 7일 이내에 안내드립니다.[근무조건]ㆍ근무형태: 정규직ㆍ처우조건: 지원자 경력 및 내규에 따라 협의 후 결정ㆍ수습조건: 수습계약 3개월, 중간 평가 후 최종 전환 여부 결정(수습기간 급여 100% 지급)ㆍ근무요일: 주5일(월요일 ~ 금요일)ㆍ근무시간: 10:00~18:00 (7시간)ㆍ근무장소: 서울 강남구 테헤란로86길 14 윤천빌딩 8층 (삼성역 4번 출구에서 도보 7분 거리)[지원 시 참고사항]• 모든 지원 서류는 정해진 양식이 없으며, 자유 양식(PDF 권장)으로 제출할 수 있습니다. • 지원 서류에 허위 사실이 발견될 경우, 채용이 취소될 수 있습니다.']"
83,['• 포트폴리오 제출 필수• 머신러닝 관련 유관 경력 5년 이상• 컴퓨터비전 또는 의료영상 유관분야에서의 딥러닝 모델 연구 및 개발 경험 • 컴퓨터비전 관련 기본 전공 지식을 보유하신 분 (전공은 무관)• 단순 모델 구현에 그치지 않고 문제에 맞춰 개선하고 연구하실 분• 논리적으로 사고하고 문제 해결 능력과 판단력이 탁월하신 분• 타인의 의견을 존중하고 논의를 통해 문제를 해결하실 분• 팀 플레이어로서 팀 내/외 협업과 커뮤니케이션에 익숙하신 분'],"['• Key-frame Extraction, 2D-Segmentation, NeRF, Point Cloud, 3D Reconstruction 중  관련 연구를 진행한 경험이 있으신 분• Video 도메인에서 관련 연구를 진행한 경험이 있으신 분• Few-shot learning, Meta learning 관련 연구를 진행한 경험이 있으신 분• AI 관련 최신 연구에 대한 이해도가 높으신 분• CVPR, ICCV, ECCV, ICLR, MICCAI 등 top tier conference 논문 개재 경험이 있으신 분']"
84,"['- 프로그래밍 언어에 대한 높은 이해도를 가지신 분- 효율적인 SQL 혹은 NoSQL 데이터베이스 구축이 가능하신 분- Tensorflow, PyTorch등의 딥러닝프레임워크 내부구조 혹은 동작형태를 이해하신 분']","['- 프로그래밍 혹은 Data science 관련 competition 입상 경험이 있으신 분- AWS, Azure, GCP등 Cloud기반 환경에서 개발 경험이 있으신 분- Computer science 혹은 AI/ML 관련 분야 석사 이상의 학위 소지하신 분- 신약 개발 혹은 Bio 데이터를 다루어 보신 분- NLP, Computer Vision 경험이 있으신 분']"
85,"['• DL/ML 분석 및 모델 개발 능력• Python, Tensorflow, Keras, Pytorch, 과학계산용 라이브러리 사용 능력• 경력 : 3년 이상']","['• 제조, 물류 등 산업분야 AI 기술 적용 경험• 통계/분석 관련 지식• 시계열 분석, 이상 탐지, 신호 처리 기반 예측 모델링에 대한 지식• 특성인자 엔지니어링, 데이터 정규화, 모델 최적화, 하이퍼 파라미터 튜닝 분야의 경험• Java 프로그램 사용 능력• 다양한 심층신경망 개발 경험• DL/ML 어플리케이션 개발 경험• 컴퓨터 사이언스 및 빅데이터 분석관련 학과 석사, 박사 우대']"
86,['1. 학력 : 학사 이상 (석/박사 우대)2. 나이/성별 : 무관3. 경력 : 3년 이상4. 전공 : 영상처리 관련 전공자5. 필수 :   - Computer Vision 이론적 배경 및 지식  - 영상처리 / 딥러닝 관련 실무 경험  - 자료구조 / 알고리즘 C언어 개발 경험  - 카메라 / 스트리밍 영상 / 녹화 영상처리 경험  - Python / C / C++ / OpenCV 개발 경험'],"['1. SW공학, 수학, 통계학, 전자공학, 컴퓨터공학, 시스템공학, 기계공학 등 그에 준하는 업무 능력 보유2. 영상처리 / 딥러닝 관련 전공자3. 동종업계 근무자 우대 (ADAS, DMS, CCTV Surveillance, Embedded)4. 탑티어 저널(CVPR, ICCV, ECCV, NeurlPS, ICML, ICLR, etc.) 논문 등재 및 특허 출원/등록 경험5. 최신 기술 동향 파악 및 SOTA 알고리즘 적용 경험6. Computer Vision 이론적 배경 지식 보유(전처리, 특징 추출,  머신비전 등)7. Tensorflow / PyTorch / TensorRT / Onnx / OpenVINO / OpencvDNN 등 딥러닝 프레임워크 사용 경험8. Docker / Conda / RTSP / FFmpeg / Cross compile / GUI 개발 경험9. AI Embedded System 개발 경험10. Face Recognition, RCNN, SSD, Yolo 등 모델 학습 및 문제 해결 경험 11. 주어진 문제를 해결하기 위해 다양한 기술적 방법을 연구하는 적극적인 자세를 가지신 분12. 영어 가능자']"
87,"['• 딥러닝 모델을 빠르게 이해하고, 이를 Deploy 할 수 있는 능력• 주요 딥러닝 프레임워크의 능숙한 사용 (Tensorflow, Pytorch, etc.)• 본인의 생각을 말과 코드로 잘 표현할 수 있음• 기존 틀에 의존하지 않고, 어떻게 개발하는것이 가장 좋을지에 대한 의문을 가짐• Vision / Audio / Text 프로세싱 기본 지식• 나이 / 성별 / 학력 / 전공 무관']","['• 상용 딥러닝 모델 설계 및 프로토타입 개발 경험• 웹앱 디플로이 경험• ML/AI 관련 리서치 또는 엔지니어링 프로젝트 경험• 각종 문제를 적극적으로 해결하고 이를 즐기는 분• 자기 개발에 적극적이고, 학습과 성장에 관심이 많은 분• 다양한 직군의 사람들과 탁월한 협업 능력을 바탕으로 원활한 커뮤니케이션을 하실 수 있는 분']"
88,"['• 컴퓨터공학, 원자력공학, 물리학, 방사선공학 전공 우대 (학사이상)• C++, python 코딩 중급 이상 (코딩 테스트 진행)']",[]
89,"['• Python 프로그래밍 실무 경력 (3년 이상)• 딥러닝 지식 및 개발 경험• 리눅스 개발 환경과 Git, Docker 등 기본적인 개발 도구 사용이 익숙한 분• elastic stack 활용 경험']","['• python을 이용하여 AI알고리즘을 실제 상용화 서비스로 개발한 경험• 추천 엔진 개발 유경험자• Transformer, ReRank, PP2Vec 등 딥러닝 개발 유경험자• 원활한 소통 및 협업 능력']"
90,"['[이런 연구 경험을 갖고 계신 분들을 찾고 있어요]• BERT, Hugging Face 등 Transformer 기반 자연어 모델 처리• 모델 최적화 오픈 소스 및 엔진(ONNX, TensorRT 등) 활용한 추론 최적화• Pytorch 기반 학습 프레임워크(DeepSpeed, Accelerate, Bitsandbyte 등) 활용 모델 구현• LLM 기반 서비스 상용화에 필요한 요건을 분석하고 직접 구현• LLM 기반 서비스 평가와 시스템 개발에 관한 실제 구현']","['[ 이런 분들과 함께하고 싶어요 ]• BERT 기반 자연어 Fine-Tuning 및 경량화를 통한 API 구축 및 런칭 서비스 적용 경험을 가지고 계신 분이면 좋아요.• Docker 컨테이너 기반 운영 환경 기반 서비스 운영 경험이 있으신 분이면 더 좋아요.• Quantization에 대한 이해 및 학습/추론에 적용 경험이 있으신 분이면 좋아요. • Prefix Tuning, Adapter, LoRA 등 여러 PEFT 기법에 대한 높은 이해도를 갖고 계신 분이면 좋아요.• 최신 LLM 논문을 동향 파악 및 SOTA 알고리즘 적용 경험이 있는 분이 좋아요. • 자연어 처리 분야 석사 이상 또는 관련분야 논문 참여 경험이 있으신 분이면 좋아요.[합류 여정]• 서류 검토 ＞ 온라인 직무 인터뷰 ＞ 오프라인 컬쳐핏 인터뷰 ＞ 처우 협의 ＞ 합격 및 입사']"
91,"['• 경력 : 동종업 (AI 서비스 개발/운영) 2년 이상 또는 그에 준하는 역량을 가지신 분• 대용량 데이터 활용이 가능하신 분• Python, Tensorflow, Pytorch 등 딥러닝 프레임워크 개발에 능숙하신 분']","['• 헬스케어 분야에서의 경험이 있으신 분• 자연어 생성 모델(LLM) 관련 경험이 있으신 분 • Linux, Docker 기반 개발 경험하신 분• 최신 영문 논문을 분석하고 재현하는 데 능숙한 분']"
92,"['# 자격 요건 어디 이런 분 없나요?- 경력 5년차 이상- 2d to 3d landmark 추정, texture mapping Computer Vision 기술 연구개발 경험- 3d style-transfer, 통계모델(SMPL,DECA,FLAME) 연구개발 경험- 3d 데이터 기반의 AI 프로젝트 경험- SOTA 최신 논문 기술동향 파악 및 알고리즘 분석 능력- Deep learning 알고리즘 설계, 구현, 검증 경험- Image Prcessing, Computer vision에 관한 전문 지식 보유.']","['# 우대 사항이런 경험 가지신 분, 레드카펫 깔아드립니다. - 컴퓨터비전 석사 이상- AI/이미지 프로세싱 연구 프로젝트 경험 2년 이상- Deep Learning 기술 접목한 서비스 구축 경험- AI/머신러닝/딥러닝 관련 논문 발표 경험 보유']"
93,"['- Computer vision 관련 전공 학사+3년 이상 경력 혹은 석사 학위 이상이신 분- Pytorch, Tensorflow등 ML framework 사용에 익숙하신 분- Computer vision 및 ML 알고리즘에 대한 이해를 가지신 분- 협업 및 커뮤니케이션에 익숙하신 분']","['- 실제 ML 서비스 제품 개발 및 PoC 진행 경험 있으신 분- SCI, Top-tier conference등 논문 실적 보유하신 분- Multi-modal 및 Large Model에 대한 연구 개발 경험 있으신 분- MLOps 및 Dev Ops를 통한 개발 환경에 익숙하신 분']"
94,"['ㆍ3년 이상의 데이터 분석 경력 또는 그에 준하는 역량- 유관분야 석/박사 학위, Kaggle 등 competition 상위 랭킹 인정ㆍPython 특성에 대한 이해를 갖고 분석/모델링에 사용되는 패키지(numpy, pandas, Scikit-learn, Tensorflow 등) 중 하나 이상을 능숙히 다룰 수 있는 능력ㆍ시계열, 시공간, 이미지 중 하나 이상의 데이터 유형을 중점적으로 다뤄본 경험ㆍ몬테카를로 시뮬레이션, Mixed-Integer Linear Programming (MILP) 등 수치 계산 수행 능력ㆍ통계, 머신러닝에 사용되는 수학에 대한 기본적인 이해로 분석 결과를 해석할 수 있는 역량ㆍ본인이 주도적으로 진행한 프로젝트를 논리적으로 설명할 수 있는 역량(사업, 연구, 분석, 모델링, 과제 등 프로젝트 성격 무관)*제출서류(필수): 이력서, 본인이 수행한 분석 프로젝트 혹은 연구 주제에 대해 기술한 문서(문제와 해결 방법을 중심으로 자유롭게 작성)']","['ㆍ분산자원, 가상발전소(VPP) 등 재생에너지/전력시스템 유관 분야 전공자 혹은 경력자ㆍ기상/기후/환경 유관 분야 전공자 혹은 경력자로서 WRF 등 수치예보모델 시뮬레이션 수행 가능한 분ㆍ머신러닝 분야 논문을 읽고 상황에 맞게 재현 가능한 분ㆍ분석/모델링에 필요한 환경, 시스템을 구축한 경험(데이터 수집, 자동화, 소스 버전 관리(VCS), virtual env 관리 등)을 보유한 분ㆍ고객/유저 입장에서 문제를 해결하고자 노력한 경험이 있는 분']"
95,"['우리는 하이퍼커넥트의 ML Research Scientist로서 광범위한 AI/ML 관련 지식을 갖춘 분을 찾고 있습니다. 저희는 AI/ML이 매우 범용적인 기술이라고 믿기에, 특정 도메인에 국한되지 않고 제품 조직의 요구에 따라 다양한 ML 기술을 연구하고 제품화할 수 있는 업무 처리 능력이 뛰어난 분을 원합니다. 따라서 기존에 경험이 없던 분야에서도 빠르게 최첨단 결과를 달성하는 능력을 갖추거나 주변 동료들이 새로운 도메인에서 성과를 이끌어낼 수 있도록 지원하는 능력을 요구하고 있습니다. 이를 위해 지원자는 ML 기술의 최신 동향을 파악하고 전달하며, 조직 전체의 수준을 높일 수 있는 역량이 요구됩니다. AI/ML이나 소프트웨어 엔지니어링에 대한 높은 수준의 이해와 경험은 이러한 역량의 좋은 징표입니다. 구체적으로 최소 한 가지의 다음 역량을 보유한 분을 찾고 있습니다.• AI/ML 전반에 대한 이해와 특정 도메인에 대한 깊이 있는 지식을 가진 분 (예시: Information Geometry에 대한 강의가 가능한 분)• 보통의 방법으로 풀 수 없는 엔지니어링 제약 조건을 AI 모델링 능력과 소프트웨어 엔지니어링 전반에 대한 깊은 수준의 이해를 바탕으로 해결할 수 있는 역량을 갖춘 분 (예시: GPU 프로그래밍 등 저수준 프로그래밍에 능통하여 off-the-shelf로 지원되지 않는 학습 최적화 기법을 제안 및 구현할 수 있는 분)• AI와 제품 결합에 대한 깊이 있는 고찰과 경험을 가진 분 (예시: AI flywheel이 실제로 작동하는 제품을 만드는 데 성공한 경험을 가진 분)또한 하이퍼커넥트의 ML Research Scientist로서 필요한 다른 역량은 다음과 같습니다.• 서비스 내 비즈니스 문제를 ML 문제로 전환하고 해결할 수 있는 솔루션을 제안할 수 있는 분• 논문 작성 과정 전체에 대한 이해와 통제력을 가진 분• 국적과 무관하되, 한국어로 원활한 의사소통이 가능한 분']","['• 실제 제품에 AI 기술을 통합하고 제품의 주요 지표를 유의미하게 향상시켜 본 경험이 있으신 분• 기계학습 분야에서 좋은 연구 트랙 레코드를 가지고 계신 분 (기계학습 관련 주요 학회 및 저널 개제 등)• 강화학습(RL)이나 인과추론(Causal Inference) 분야에서의 연구 경험이 있으시거나, Real-world 문제를 풀어보신 분• 백엔드 개발 경험 혹은 클라이언트(Android, iOS) 개발 경험이 있으신 분• 기계학습 관련 오픈 소스 개발에 참여해 본 경험이 있으신 분• 영어에 능통하신 분']"
96,['- 머신러닝및 데이터 분석 업무 경력 3년이상'],"['- 대용량 데이터 처리 경험자- 백엔드(PHP, Node.JS) 경험자- 리클의 서비스를 이용해 본 경험이 있는분- 인근 거주자']"
97,"['• 기술 프로젝트를 리딩하고, 다른 엔지니어의 성장을 도와본 경험이 있으신 분• 단기적/장기적 관점을 모두 고려하여 좋은 기술 관련 의사결정을 하실 수 있는 분• CS fundamentals (운영체제, 컴퓨터 시스템 아키텍처, 자료구조 및 알고리즘)에 대한 탄탄한 기본지식을 보유하신 분• ML 모델을 서비스에 배포하기 위해, 여러 직군의 이해관계자와 협업할 수 있는 강력한 커뮤니케이션 능력과 엔지니어링 역량을 갖추신 분• 공동의 목표 달성을 위해 서로 협력하고 서로에게 도움을 요청할 수 있는 긍정적이고 상호 존중하는 팀워크 자세를 보유하신 분• Java, Kotlin, Python, JavaScript, Go 중 한가지 이상 언어에 능숙하고, 그 외 프로그래밍 언어를 학습하여 사용이 가능하신 분• 학위나 국적은 무관합니다.']","['• 머신러닝 모델의 학습부터 서비스 배포까지 해보신 경험이 있으신 분• 추천, 생성형 AI 등 최신 ML 기술을 활용한 어플리케이션 개발 및 프로덕션 운영 경험이 있으신 분• 실제 서비스에 AI 기술을 통합하고 주요 지표를 유의미하게 향상시켜 본 경험이 있으신 분• 엔지니어링 팀을 리드해본 경험이 있으신 분• 대규모 트래픽을 처리하는 백엔드 서버 개발 경험이 있으신 분• RDBMS 혹은 DynamoDB, Cassandra 등 분산 데이터베이스에 대한 이해가 있으신 분• Spark, Flink 등 대용량/실시간 처리를 위한 분산/병렬 시스템 개발 경험이 있으신 분• 영어에 능통하신 분']"
98,['• 컴퓨터 공학 및 관련 학사 이상의 학위 소지하신 분• Single Instruction Multiple Data (SIMD)사용과 같은 하드웨어에 특화된 코드 최적화 경험을 보유하신 분• 복잡한 문제를 분석할 수 있고 창의적인 해결 방법을 제시할 수 있는 능력을 보유하신 분'],"['• Compiler 개발 분야에서 3년 이상의 경력을 보유하신 분• Compiler 백엔드 코드 생성기 구현 경험이 있으신 분• OpenCL이나 CUDA와 연관된 SW stack 구현 경험이 있으신 분• Massive parallelism을 이용한 SW stack 구현 경험이 있으신 분• 어셈블리, 바이너리, 런타임, 운영체제 레벨의 저수준 소프트웨어 구현 경험이 있으신 분• Object detection, segmentation, NLP등의 machine learning algorithm에 대한 지식을 보유 하신 분• 통계학과 ML 모델링에 대한 지식을 보유하신 분• SDK를 개발, 평가, 배포하는 것에 관한 현장 경험이 있으신 분[Recruitment Process]• 서류전형 ＞ 1차 유선면접 ＞ 2차면접 ＞ 3차면접 ＞ 채용검진 ＞ 최종합격• 지원서상 허위기재가 있거나 제출하신 서류가 허위일 경우, 채용이 취소됩니다.• 상황에 따라 과제 또는 추가 인터뷰, 평판조회 전형이 추가될 수 있습니다.• 국가보훈대상자 및 등록장애인은 관계법령에 의거 우대합니다.']"
99,['• 수학 (데이터분석 관련학과) 박사학위 • 자격요건을 미충족할 경우 훌륭한 동기와 실력'],['• Top Tier 논문• 추천서• 신약개발 관련 경력']
100,"['＜이런 분을 모시고 싶어요＞- Data Science, Data Analysis 팀과 협업 경험- 2년 이상의 ML Ops 구축 및 운영 경험- 3년 이상의 Software(Java, Python) 개발 경험과 알고리즘 ,자료구조, 디자인 패턴에 대한 이해- ML/DL 모델에 대한 이해']","['＜이런 점이 있다면 더욱 좋아요＞- Ray, DASK 등의 분산 학습 및 추론 환경 경험- AWS cloud에 대한 이해와 경험- Spark, Hive 등 빅데이터 처리에 대한 경험- Airbyte, DataHub, Snowflake, Airflow, Kafka, Flink 등 구축 및 운영 경험']"
101,"['• 대학교 졸업 이상 컴퓨터 공학, 로봇공학, 전자공학 등 관련 학과 졸업자• 경력 :  1년이상• Development LiDAR + CAMERA + IMU SLAM• Development LiDAR LIDAR IMU SLAM• Development Visual-Inertial odometry• Development Multi-modal sensor calibration• Development SLAM algorithm• Maintain c++ SLAM application']","['• C++, Python 프로그래밍 능력 보유자• SLAM 관련 지식과 개발 가능한 분']"
